customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,state
QZ44356,Arizona,F,Bachelor,697953.59%,0.0,94.0,1/0/00,Personal Auto,Four-Door Car,1131.464935,
AI49188,Nevada,F,Bachelor,1288743.17%,48767.0,108.0,1/0/00,Personal Auto,Two-Door Car,566.472247,
WW63253,California,M,Bachelor,764586.18%,0.0,106.0,1/0/00,Corporate Auto,SUV,529.881344,
GA49547,Washington,M,High School or Below,536307.65%,36357.0,68.0,1/0/00,Personal Auto,Four-Door Car,17.269323,
OC83172,Oregon,F,Bachelor,825629.78%,62902.0,69.0,1/0/00,Personal Auto,Two-Door Car,159.383042,
XZ87318,Oregon,F,College,538089.86%,55350.0,67.0,1/0/00,Corporate Auto,Four-Door Car,321.6,
CF85061,Arizona,M,Master,721610.03%,0.0,101.0,1/0/00,Corporate Auto,Four-Door Car,363.02968,
DY87989,Oregon,M,Bachelor,2412750.40%,14072.0,71.0,1/0/00,Corporate Auto,Four-Door Car,511.2,
BQ94931,Oregon,F,College,738817.81%,28812.0,93.0,1/0/00,Special Auto,Four-Door Car,425.527834,
SX51350,California,M,College,473899.20%,0.0,67.0,1/0/00,Personal Auto,Four-Door Car,482.4,
QK46697,Washington,M,Bachelors,617710.93%,61040.0,79.0,1/1/00,Personal Auto,Two-Door Car,20.382876,
HS14476,Washington,M,College,916206.32%,29723.0,80.0,1/0/00,Personal Auto,Four-Door Car,20.985105,
HD95276,Washington,F,College,473787.17%,0.0,130.0,1/0/00,Personal Auto,SUV,23.820158,
YD87931,Washington,M,Doctor,495165.61%,46896.0,35354.0,1/1/00,Personal Auto,Four-Door Car,31.707317,
NW21079,Washington,F,Master,487938.48%,67163.0,61.0,1/2/00,Personal Auto,Two-Door Car,33.192803,
YB66933,Washington,F,Bachelor,538275.20%,77552.0,68.0,1/1/00,Corporate Auto,Four-Door Car,45.215059,
OW15518,Washington,F,College,1595001.95%,0.0,87.0,1/1/00,Personal Auto,Two-Door Car,46.041452,
GP39118,Washington,M,High School or Below,499655.27%,71600.0,63.0,1/0/00,Personal Auto,Two-Door Car,46.158117,
SG20925,Washington,F,Master,518579.76%,99428.0,6464.0,1/1/00,Personal Auto,Four-Door Car,48.046869,
FM14335,Washington,F,College,1048491.54%,61108.0,89.0,1/0/00,Personal Auto,Four-Door Car,49.451117,
HS28694,Washington,F,High School or Below,282986.39%,25317.0,71.0,1/0/00,Personal Auto,Two-Door Car,50.422181,
LH92841,Washington,F,Bachelors,725595.38%,88891.0,89.0,1/0/00,Personal Auto,Four-Door Car,50.528355,
AZ95587,AZ,F,Bachelor,1038855.32%,61222.0,89.0,1/0/00,Special Auto,Four-Door Car,392.604371,
DS81757,Oregon,M,College,247012.12%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,721.242206,
OJ94107,AZ,M,Master,561906.85%,50335.0,140.0,1/0/00,Personal Auto,SUV,456.52385,
LP84436,California,F,High School or Below,904711.92%,0.0,127.0,1/0/00,Personal Auto,Sports Car,1087.995426,
FF22360,Washington,F,Doctor,268731.41%,82210.0,68.0,1/4/00,Personal Auto,Four-Door Car,51.961915,
LM19287,Oregon,F,High School or Below,373150.46%,0.0,96.0,1/0/00,Personal Auto,Four-Door Car,460.8,
ZU18643,Nevada,M,Bachelor,366077.03%,64495.0,92.0,1/0/00,Corporate Auto,Four-Door Car,251.992083,
AZ82578,California,F,College,792882.93%,0.0,72.0,1/0/00,Corporate Auto,Four-Door Car,345.6,
XC67861,Arizona,F,Bachelor,501175.16%,28859.0,67.0,1/3/00,Corporate Auto,Two-Door Car,321.6,
YC43143,Arizona,F,High School or Below,798825.83%,77330.0,99.0,1/0/00,Personal Auto,Four-Door Car,99.257608,
EK59571,Oregon,M,College,388545.64%,0.0,105.0,1/0/00,Corporate Auto,Four-Door Car,504.0,
PA38372,Washington,F,High School or Below,935773.78%,33060.0,117.0,1/0/00,Personal Auto,Four-Door Car,56.731578,
RO18530,Washington,M,Master,254068.98%,42557.0,65.0,1/0/00,Personal Auto,Four-Door Car,57.562324,
PD27940,Arizona,M,High School or Below,488516.25%,26372.0,126.0,1/0/00,Personal Auto,SUV,604.8,
BS77946,Arizona,F,Bachelor,975330.71%,17514.0,127.0,1/0/00,Personal Auto,SUV,8.312729,
YM50253,California,Femal,Bachelor,294615.37%,89270.0,74.0,1/0/00,Personal Auto,Four-Door Car,316.599228,
NR15332,California,M,High School or Below,258111.09%,29757.0,65.0,1/0/00,Personal Auto,Four-Door Car,312.0,
RC62865,Oregon,M,College,351738.58%,51814.0,92.0,1/0/00,Personal Auto,Four-Door Car,56.300724,
CC15295,Oregon,F,Bachelor,974335.01%,24028.0,82.0,1/0/00,Personal Auto,Four-Door Car,393.6,
KA61892,Arizona,M,College,387364.70%,28142.0,105.0,1/0/00,Personal Auto,Sports Car,701.708239,
OS94884,Arizona,F,Bachelor,764928.20%,52705.0,64.0,1/1/00,Personal Auto,Two-Door Car,128.705563,
ND87334,California,M,High School or Below,228759.69%,0.0,63.0,1/0/00,Corporate Auto,Two-Door Car,679.368378,
OY51402,Washington,F,High School or Below,825576.39%,54040.0,103.0,1/0/00,Personal Auto,SUV,59.987126,
YL74911,California,F,College,871492.21%,0.0,118.0,1/0/00,Personal Auto,SUV,566.4,
GK92563,Washington,F,Doctor,681923.12%,22492.0,85.0,1/0/00,Personal Auto,Two-Door Car,61.654262,
HL53154,California,M,Bachelor,741619.73%,0.0,77.0,1/2/00,Personal Auto,Four-Door Car,554.4,
RI78966,Oregon,M,Master,777115.90%,21876.0,68.0,1/0/00,Personal Auto,Four-Door Car,465.41477,
IC13702,California,F,Bachelor,696834.19%,0.0,69.0,1/1/00,Personal Auto,Four-Door Car,496.8,
BE10809,California,F,High School or Below,425028.26%,0.0,61.0,1/1/00,Personal Auto,Four-Door Car,292.8,
HT87217,Oregon,F,High School or Below,1977656.65%,70699.0,82.0,1/0/00,Personal Auto,Four-Door Car,256.813837,
TH95618,California,F,High School or Below,2134346.60%,0.0,74.0,1/1/00,Personal Auto,Four-Door Car,355.2,
TS19868,California,M,College,241313.97%,27501.0,63.0,1/0/00,Personal Auto,Four-Door Car,542.319401,
LP45550,Oregon,F,Doctor,1536384.72%,15897.0,101.0,1/0/00,Personal Auto,Four-Door Car,303.148399,
QR87004,Nevada,F,College,845696.19%,25141.0,73.0,1/1/00,Personal Auto,Four-Door Car,25.438063,
OE75747,Nevada,F,College,218964.25%,0.0,61.0,1/3/00,Personal Auto,Four-Door Car,292.8,
DX91392,California,M,High School or Below,578018.22%,51066.0,74.0,1/0/00,Personal Auto,Four-Door Car,787.993313,
AB72731,California,F,Bachelor,463998.16%,28358.0,117.0,1/0/00,Personal Auto,Sports Car,84.024413,
GX84338,Washington,F,Doctor,382443.13%,62530.0,95.0,1/0/00,Personal Auto,Four-Door Car,61.693771,
IS12901,Arizona,F,Bachelor,596811.89%,90972.0,74.0,1/0/00,Personal Auto,Two-Door Car,232.926145,
BN90616,Washington,F,Bachelor,859033.50%,63110.0,72.0,1/0/00,Personal Auto,Four-Door Car,68.179721,
HH90090,California,F,Bachelor,407663.47%,29549.0,104.0,1/0/00,Personal Auto,Sports Car,710.433775,
IU25463,California,F,Bachelor,1225260.18%,0.0,115.0,1/1/00,Personal Auto,Four-Door Car,552.0,
KC11055,Nevada,F,Bachelor,1693627.15%,39411.0,217.0,1/2/00,Personal Auto,Luxury Car,1122.658899,
PD33979,Oregon,M,High School or Below,489243.55%,21709.0,62.0,1/0/00,Personal Auto,Four-Door Car,408.374746,
NK71023,Nevada,M,Bachelor,994230.48%,67890.0,85.0,1/0/00,Personal Auto,Four-Door Car,408.0,
AB13432,California,M,Bachelor,373583.81%,0.0,110.0,1/0/00,Personal Auto,SUV,792.0,
OZ97704,California,F,High School or Below,1311752.22%,84311.0,111.0,1/4/00,Personal Auto,SUV,532.8,
UF46533,California,F,College,457452.41%,99316.0,114.0,1/0/00,Corporate Auto,SUV,754.358929,
XP47431,Arizona,F,Bachelor,547006.06%,54507.0,138.0,1/0/00,Personal Auto,SUV,702.990032,
GK73582,California,F,Bachelor,297884.60%,64586.0,76.0,1/0/00,Personal Auto,Four-Door Car,206.837111,
RV98763,Oregon,M,College,641096.75%,61709.0,82.0,1/2/00,Personal Auto,Four-Door Car,275.395894,
II62831,California,M,Master,447902.31%,94656.0,111.0,1/1/00,Special Auto,SUV,459.738128,
XK33449,California,F,High School or Below,238373.19%,0.0,69.0,1/0/00,Special Auto,Two-Door Car,496.8,
TR85083,California,M,Bachelor,276449.37%,61085.0,70.0,1/1/00,Personal Auto,Two-Door Car,336.0,
EO95328,Oregon,F,Bachelor,792010.54%,89284.0,67.0,1/3/00,Personal Auto,Two-Door Car,321.6,
EN21086,Arizona,F,High School or Below,688909.80%,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,302.4,
YL83902,WA,F,Bachelor,327419.46%,31686.0,81.0,1/0/00,Personal Auto,Four-Door Car,430.994107,
AZ62651,Oregon,M,High School or Below,995170.77%,56855.0,255.0,1/0/00,Corporate Auto,Luxury SUV,1836.0,
ZW25874,Oregon,M,Bachelor,252155.57%,53703.0,67.0,1/2/00,Special Auto,Four-Door Car,67.632476,
EH41854,WA,F,High School or Below,2370611.34%,0.0,96.0,1/1/00,Personal Auto,Two-Door Car,844.481918,
MW70227,California,M,College,604702.52%,20396.0,76.0,1/1/00,Personal Auto,Four-Door Car,364.8,
SL22297,California,F,Master,1114030.25%,27679.0,150.0,1/0/00,Personal Auto,SUV,722.486994,
RV14138,Nevada,F,Bachelor,433406.41%,23904.0,123.0,1/3/00,Personal Auto,SUV,590.4,
UO62808,Arizona,F,High School or Below,279974.79%,65351.0,69.0,1/0/00,Corporate Auto,Four-Door Car,481.027516,
ZX64745,California,M,College,792313.66%,0.0,113.0,1/0/00,Personal Auto,SUV,1124.427734,
FL34139,California,M,High School or Below,368811.09%,0.0,63.0,1/3/00,Personal Auto,Four-Door Car,669.682001,
TS11219,California,M,College,1206745.60%,0.0,116.0,1/0/00,Personal Auto,SUV,1284.093173,
XX12304,California,F,College,292497.67%,64459.0,72.0,1/0/00,Personal Auto,Four-Door Car,240.259479,
SD64087,California,M,College,1501409.27%,32961.0,190.0,1/0/00,Corporate Auto,SUV,912.0,
OY38576,Oregon,F,High School or Below,927723.38%,71416.0,116.0,1/0/00,Corporate Auto,SUV,556.8,
BG76355,WA,F,Bachelor,627412.39%,68964.0,78.0,1/0/00,Personal Auto,Four-Door Car,115.086827,
IP66913,Cali,M,High School or Below,388664.74%,78108.0,98.0,1/0/00,Personal Auto,Two-Door Car,470.4,
LE95702,Cali,M,College,438627.76%,10621.0,67.0,1/0/00,Special Auto,Four-Door Car,321.6,
KX54357,WA,M,College,1136526.77%,84910.0,95.0,1/0/00,Corporate Auto,Two-Door Car,383.167471,
EZ78112,Cali,Femal,High School or Below,561096.43%,77493.0,70.0,1/0/00,Special Auto,Four-Door Car,307.963291,
XN16891,Arizona,M,College,291289.20%,81097.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2,
XK31350,Oregon,Femal,College,691572.99%,96610.0,85.0,1/0/00,Corporate Auto,Four-Door Car,520.364752,
CC30924,Oregon,M,College,626266.33%,30110.0,159.0,1/0/00,Corporate Auto,Sports Car,466.436375,
IT78748,Oregon,Femal,High School or Below,650339.70%,22081.0,84.0,1/0/00,Special Auto,Two-Door Car,451.670309,
KY33386,WA,Femal,High School or Below,800739.94%,0.0,112.0,1/0/00,Personal Auto,Sports Car,537.6,
CO44221,Cali,M,College,292991.65%,98473.0,72.0,1/0/00,Personal Auto,Four-Door Car,345.6,
LK60013,Oregon,Femal,Bachelor,596955.30%,97431.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2,
DE21533,Cali,M,Bachelor,547315.99%,93870.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,
YS94121,Nevada,M,High School or Below,564539.67%,50366.0,72.0,1/0/00,Personal Auto,Four-Door Car,428.734656,
UK68427,WA,M,High School or Below,636926.24%,34498.0,83.0,1/0/00,Personal Auto,Two-Door Car,398.4,
TE49565,Oregon,Femal,College,1183376.73%,16552.0,103.0,1/0/00,Personal Auto,SUV,494.4,
RA88421,Oregon,Femal,College,612110.79%,26787.0,77.0,1/0/00,Personal Auto,Four-Door Car,369.6,
KQ51983,Nevada,M,College,515936.97%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,831.752839,
CD88896,Nevada,Femal,High School or Below,251459.20%,43860.0,65.0,1/0/00,Corporate Auto,Four-Door Car,156.124914,
YV22553,Arizona,M,High School or Below,866861.13%,21474.0,114.0,1/2/00,Corporate Auto,SUV,373.428187,
WU14435,Cali,M,Bachelor,496096.54%,18174.0,66.0,1/0/00,Corporate Auto,Four-Door Car,395.934815,
XV84099,Arizona,Femal,Bachelor,550413.90%,0.0,73.0,1/0/00,Corporate Auto,Four-Door Car,350.4,
RI24911,Arizona,Male,College,750745.54%,60920.0,64.0,1/0/00,Personal Auto,Two-Door Car,231.201886,
KO26461,Arizona,Male,High School or Below,3226985.14%,41520.0,90.0,1/0/00,Personal Auto,Four-Door Car,289.904105,
HI14283,Oregon,Femal,Bachelor,565703.16%,0.0,152.0,1/0/00,Personal Auto,SUV,729.6,
PT50227,Arizona,Male,High School or Below,506175.79%,0.0,68.0,1/0/00,Personal Auto,Two-Door Car,326.4,
